season_week,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD
27.0,53048.06027692733,754.4026753377851,10888.929634728287,1574.9343562256108,2264.683129665098,1184.2402234771946,3219.6325180354906,825.7233179914642,949.5315327763982,598.4123382360913,12392.642778314103,2778.6251864307355,0.0
28.0,52569.31015062099,753.3213260116621,10928.74926615009,1557.451603307827,2154.9097947093087,1082.383361918838,3206.2269665427466,827.8785329283019,969.5441983598375,585.4540967109776,12205.358040046405,2815.868088374739,0.0
29.0,51364.25164979501,736.1854215349746,10794.390386185189,1477.839406371866,2189.0986816075133,1001.1412870147648,3023.87490537632,829.6744830138733,927.2488202236963,566.1022740228818,12018.870089319236,2695.7111958209757,0.0
30.0,51023.76214130773,713.9535556249378,10833.455909151322,1510.2397026100105,2140.5477899892167,931.3385686832547,3019.0438103866036,802.9897030581204,914.2189813516289,575.8285091341592,11959.061694468519,2677.049116994648,0.0
31.0,50922.38700480442,675.1714526118168,10862.784642561912,1530.7250753396456,2085.873012629109,899.8033842026813,2957.6446308423315,787.0367188789327,914.5336095176468,563.3639823497197,11822.421514830503,2689.374346315408,0.0
32.0,50045.027244748984,689.9723724094938,10727.712402760595,1499.8399081817342,2027.434553687237,806.8709585066125,2950.5317109906828,787.8253896671657,904.9352106096534,546.1274406249112,11668.771234037325,2575.896927559469,0.0
33.0,49766.208564379725,642.1745454719404,10779.31540676066,1424.321124976552,2015.7932291645782,781.5764198427123,2857.2287040455262,759.5856298021757,880.3920199703902,569.370520255978,11631.414047530076,2613.606347264927,0.0
34.0,49322.67821677952,650.3429120011608,10795.348181670231,1430.3906128080368,1996.6049441940831,754.9523534478677,2867.737534563855,744.1052181929482,862.6941163802779,554.5066608194129,11488.244314501884,2566.703597398973,0.0
35.0,49238.07151928931,665.4366860583153,10698.45072308606,1409.119008283199,2021.9150962628528,768.4757724843734,2795.8589637726222,759.1582611054763,874.3857306439273,536.820984801759,11434.026906370025,2578.5561484566074,0.0
36.0,49655.83300166773,654.6614050405393,10722.506296914451,1456.3418964842829,2025.745279037504,753.7137306230369,2783.863582580381,732.2267625108188,836.2965273419222,565.6875263410101,11515.276124954771,2558.577670360092,0.0
37.0,49112.04216346645,666.8133745880286,10748.850734893344,1426.8739087313097,2012.7016491098393,733.7516631024673,2758.6612740122746,748.6216953029852,851.3400967785761,539.0454344553914,11362.49110275768,2492.2982697914326,0.0
38.0,49042.737665845816,656.9971663179501,10868.954838523781,1416.4143427757751,2001.856365087262,728.6907488989888,2717.8416767675612,746.778872167848,881.7641217679092,562.7318064858501,11208.179887614215,2582.724493081218,0.0
39.0,48748.45936162673,650.8910060554289,10827.795189027354,1382.7768423333653,1941.0225201792384,738.7780169493285,2662.0216684087927,725.604314454063,853.8990718940187,588.6071463523496,11262.560878967533,2508.6725369998007,0.0
40.0,49141.06242045507,657.9476664780717,10841.53820608642,1420.0722806690137,1927.8637684940015,712.2666705124897,2611.4428514416045,728.2233322251794,824.9711850580323,568.3046806175024,11337.429887095399,2508.9203219622523,0.0
41.0,48619.747468089714,672.135595657085,10767.97382962241,1383.7462894452349,1948.17427879782,692.8660926834722,2583.992530652853,721.1943987763042,864.4152638138024,540.9958627977347,11195.36029124428,2519.8976540746708,0.0
42.0,48345.795640282944,658.9707143291909,10781.007238358869,1416.9348444325108,1959.9509271910586,657.9567259389006,2518.4277934155125,718.9001658145963,846.0290678174442,572.7429755775314,11002.355792826513,2507.776807619698,0.0
