jurisdiction,week_end_date,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD,season_week,season
United States,7/16/2016,47935.71946886181,705.0574398865551,10828.618039012375,1376.345800649371,1978.0493923087245,785.8985686979308,2591.0093436759907,640.589197923053,860.599864941354,602.7268970873454,10966.764271791308,2476.399135740876,0.0,41.0,1.0
United States,7/23/2016,47687.056249859736,709.1506615985236,10827.594733584383,1307.7843369739005,1957.5832837488824,685.6146367547053,2599.1957870999277,696.8709964626183,852.4134215174172,605.7968133713217,10798.942181600605,2421.1406426293024,0.0,42.0,1.0
United States,7/30/2016,48159.82335759208,703.0108290305709,11083.421090582407,1301.644504405948,1961.6765054608509,720.4070213064366,2473.3292194568994,685.6146367547053,826.8307858176147,581.2374830995113,10945.274857803473,2397.604617785484,0.0,43.0,1.0
United States,8/6/2016,47973.58176969752,713.2438833104919,10916.622305819696,1423.4178503370076,1823.5302726819177,735.7566027263181,2541.89068313237,627.2862273591558,801.2481501178123,622.1697002191952,10975.974020643238,2438.5368349051682,0.0,44.0,1.0
United States,8/13/2016,48160.84666302007,622.1697002191952,11135.609667410004,1336.4368889576792,1972.9328651687638,752.1294895741917,2543.937293988354,660.0320010549028,844.2269780934804,590.4472319514402,10989.276991207134,2551.100431984299,0.0,45.0,1.0
United States,8/20/2016,48170.05641187201,722.4536321624208,11145.842721689925,1280.155090418114,1963.723116316835,715.2904941664762,2558.2635699802436,647.7523359189977,827.8540912456068,605.7968133713217,11042.488873462724,2374.068592941666,0.0,46.0,1.0
United States,8/27/2016,47836.45884234658,679.4748041867527,10982.113853211189,1292.4347555540191,1993.3989737286058,696.8709964626183,2494.8186334447337,638.5425870670688,897.4388603490695,631.3794490711241,10761.079880764897,2499.935160584694,0.0,47.0,1.0
United States,9/3/2016,47988.931351117404,705.0574398865551,11164.262219393782,1347.6932486655924,1935.0705643330564,747.0129624342311,2496.8652443007177,595.5637590914007,865.7163920813144,624.2163110751794,10701.728165941355,2593.0559545319747,0.0,48.0,1.0
United States,9/10/2016,48437.13912857794,724.500243018405,11015.88293233493,1356.9029975175213,2038.4244125602581,730.6400755863576,2460.026248893002,672.3116661908081,810.4578989697412,590.4472319514402,11132.539751126029,2389.4181743615477,0.0,49.0,1.0
United States,9/17/2016,48400.300133170225,711.1972724545077,10964.717660935325,1357.9263029455133,2086.5197676758867,784.8752632699387,2516.3080474325675,696.8709964626183,865.7163920813144,586.3540102394718,10877.736699555995,2464.1194706049705,0.0,50.0,1.0
United States,9/24/2016,48207.91871270771,715.2904941664762,11006.673183483,1345.6466378096081,2016.934998572424,741.8964352942706,2489.702106304773,683.5680258987211,811.4812043977332,590.4472319514402,10957.55452293938,2577.7063731120934,0.0,51.0,1.0
United States,10/1/2016,48546.63280937309,675.3815824747843,11003.603267199023,1341.5534160976397,2112.102403375689,689.7078584666737,2655.477585639493,664.1252227668713,886.1825006411564,625.2396165031715,11008.719794338984,2511.191520292607,0.0,52.0,1.0
United States,10/8/2016,49346.436470230714,702.1040975359186,11085.319398143085,1389.9832205920936,2078.8784132539645,734.6183249181898,2447.7116801216034,713.2808631985744,871.7877216871464,633.0113643485923,11324.09575548164,2546.270431874113,0.0,1.0,2.0
United States,10/15/2016,50087.15121278308,686.863053450479,11119.865764736749,1435.7063528484125,2243.4816893767124,793.5503620485563,2692.5844550943334,723.4415592555341,926.655480394729,648.252408434032,11608.595245076513,2553.382919113985,0.0,2.0,2.0
United States,10/22/2016,49353.548957470586,677.7184269992152,11012.162386532975,1401.1599862547494,2049.412394688781,816.9199629795637,2631.620278752575,706.1683759587025,883.9805569554981,604.561415389105,11419.60629841706,2574.7203808336003,0.0,3.0,2.0
United States,10/29/2016,49832.11774175339,769.164691511853,10956.278558219696,1392.0153598034856,2208.9353227830493,780.3414571745086,2634.668487569663,725.4736984669261,929.7036892118169,628.9470859258084,11506.988284506915,2587.929285707648,0.0,4.0,2.0
United States,11/5/2016,49596.38959323192,678.7344966049112,10878.041198581106,1386.9350117750057,2203.8549747545694,788.4700140200764,2621.459582695615,732.5861857067979,875.8520001099303,550.7097262872184,11517.148980563874,2705.793359968381,0.0,5.0,2.0
United States,11/12/2016,50356.40965829251,735.6343945238858,11050.773031549423,1502.7669468243469,2119.5211974818035,847.402051150443,2669.214854163326,717.3451416213583,904.3019490694176,638.0917123770722,11710.20220564611,2721.0344040538207,0.0,6.0,2.0
United States,11/19/2016,51168.24927324359,749.8593690036295,11307.838641790504,1412.336751917405,2262.787011884936,817.9360325852597,2756.59684025318,710.2326543814864,913.4465755206813,634.0274339542883,11872.773342557466,2739.3236569563483,0.0,7.0,2.0
United States,11/26/2016,50944.713959990484,723.4415592555341,10852.639458438707,1526.1365477553543,2164.2282601324264,838.2574246991792,2854.1395223999934,742.7468817637576,919.5429931548572,652.3166868568159,12018.071296171991,2669.214854163326,0.0,8.0,2.0
United States,12/3/2016,52289.99011793195,805.743197316908,11030.451639435503,1510.8955036699147,2316.6387009868226,874.8359305042343,2909.007281107576,767.132552300461,903.2858794637216,692.9594710846549,12233.478052579538,2836.866339103162,0.0,9.0,2.0
