,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD,Explained,Unexplained
28,51150.360687430526,755.7304627262573,10853.049290163432,1479.9361738141754,2142.946907498071,1023.6455341897287,3055.223265218598,796.4052922918422,918.9041065449347,579.557832224502,12021.556000009186,2640.9172820810973,0.0,35688.31431453732,15462.046372893215
29,50516.70661601585,717.7944988313201,10882.678871149781,1457.8697503269207,2103.035359766081,962.274582603363,3026.9556369890693,764.4593703403133,925.0736835073436,586.8126958226998,11886.861090014929,2614.9829360591307,0.0,35341.985779588234,15174.720836427625
30,50513.30068087582,677.4453320075589,10928.450315106842,1505.8785428378046,2043.727175018096,907.3307042296776,2958.530796741561,769.2663755326365,903.0315153001692,569.5207515849012,11739.714311111424,2643.4881767299075,0.0,35076.863244615684,15436.437436260137
31,49728.92683080347,696.838627405894,10805.476958250809,1449.1574344488479,1994.432943641536,849.5861610425038,2935.3351877919604,748.9682706334953,907.7582093395863,559.1323090944061,11619.740922588206,2574.646104783486,0.0,34581.94081992632,15146.986010877154
32,49238.09121412625,665.6679847021603,10800.15639555194,1413.8775588462295,1978.0172327964872,820.2022908420738,2867.937964230029,719.7147383169125,885.6524913698119,574.2971200081316,11490.65733833302,2578.5140477028117,0.0,34220.398042691486,15017.693171434768
33,49047.26702422781,669.5652065117949,10837.459658875288,1414.1090389918195,1985.4141120957906,806.898949059536,2850.0002195291936,726.3630458925376,861.2179176278416,557.8123464313878,11442.781360727993,2519.989522203454,0.0,34113.79903151525,14933.467992712562
34,48711.37793856874,672.6397820081236,10735.733458687722,1384.9326742257706,1955.0889136169103,791.0031292538043,2776.1003866235656,728.8487180270732,872.0518364043794,559.5211211599736,11334.489969112654,2540.230874141101,0.0,33791.119742101095,14920.258196467645
35,49109.15379925477,674.8499088360536,10752.475680829688,1404.2042979828911,1984.668470752742,793.8385961516276,2780.409195594257,719.5231645384886,852.3768557553633,577.4790383496666,11352.508241092819,2524.3807362292528,0.0,33839.2351477632,15269.918651491573
36,48642.17801476891,665.6796704947067,10787.073064908824,1402.493072260121,1949.2721527067886,758.0696505650067,2713.946973172939,730.1292499744037,855.4693264980855,555.7317609967716,11255.807401742702,2495.571175093004,0.0,33613.51173741658,15028.66627735233
37,48539.97061796689,654.4852635010268,10869.573242452607,1369.932180508235,1946.6070254640026,751.3657086960742,2698.4618031555256,726.9994536836003,883.5924904929352,572.8283467335193,11169.634192212046,2518.571368873665,0.0,33589.22272903972,14950.747888927166
38,48417.58063270951,662.5097576688867,10856.381405371554,1369.9445184351794,1927.9902622466286,752.2190114166873,2653.424745814039,698.8881162382485,853.105646999392,581.1543991434537,11190.282318448037,2482.7509664507893,0.0,33447.49674908945,14970.083883620064
39,48566.98040392494,677.2219844912647,10825.40756828167,1388.227059161516,1902.8164473863367,740.3889190726262,2585.667077241721,689.3448046290679,829.2342731095871,579.2179784871397,11243.892523831108,2479.415897283835,0.0,33361.61655448872,15205.363849436224
40,48315.768656743065,686.3442235662154,10846.885368081532,1377.0393279274303,1938.9220065050629,729.5837229115355,2577.613498850437,697.3134902782792,863.9419150437743,553.7660769424972,11133.456444908652,2508.1972281440508,0.0,33359.297226216964,14956.4714305261
41,47985.99772740605,672.4546024530097,10847.28959622317,1377.667801417935,1937.1410514046647,674.3576632801318,2525.691293122972,697.3005521985708,843.6479288860842,584.3729020043589,10965.92759541569,2462.458024063218,0.0,33003.936108465445,14982.061618940605
42,47913.60672900213,651.5430600899746,10903.58330611744,1324.5494203627918,1933.643298087504,712.9838709171901,2469.07572645677,695.5218374804979,823.8194211468015,567.0573159528043,10969.096218948494,2478.17761163041,0.0,32961.99377123788,14951.61295776425
43,47945.344641971846,674.5580983298344,10846.666317303056,1377.7066102868316,1915.9443226970536,698.996303009725,2478.094864857308,683.273975199562,828.6008008706623,587.896947541595,10973.595913489098,2484.554570654952,0.0,32961.991776698065,14983.352865273771
44,48135.040354133336,630.9149413309726,10986.98573215945,1364.728146069045,1951.6379753098847,708.8270373214477,2415.6076742438026,691.4502887767752,843.2526695884103,579.0119640427778,10953.674287197078,2507.022792846161,0.0,33054.10154484302,15080.938809290315
